Area,Item,Element,Unit,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Czechia,Fertilizers Manufacturing,Emissions (CO2),kt,53.9461,39.3601,38.6991,37.9932,37.2087,39.5004,42.193,38.2894,38.9437,55.195,55.195
Czechia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,53.9461,39.3601,38.6991,37.9932,37.2087,39.5004,42.193,38.2894,38.9437,55.195,55.195
Egypt,Fertilizers Manufacturing,Emissions (N2O),kt,3.7122,0.8683,4.4253,1.4426,4.195,2.1997,2.7894,3.664,3.9215,3.9955,3.9955
Egypt,Fertilizers Manufacturing,Emissions (CO2),kt,4200.3129,10732.3756,11077.704,6952.5535,7311.241,10694.2703,11585.4798,10679.9,9851.4249,10231.1848,10231.1848
Egypt,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,983.7441,230.1056,1172.7175,382.2943,1111.6713,582.9308,739.2016,970.9568,1039.1986,1058.8056,1058.8056
Egypt,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,5184.057,10962.4812,12250.4215,7334.8478,8422.9123,11277.2011,12324.6814,11650.8568,10890.6234,11289.9905,11289.9905
Estonia,Fertilizers Manufacturing,Emissions (N2O),kt,0.0005,0.0006,0.0008,0.0002,0.0002,0.0004,0.0004,0.0022,0.0011,0.0011,0.0011
Estonia,Fertilizers Manufacturing,Emissions (CO2),kt,0.6036,0.8099,7.8743,0.2459,0.2358,0.5325,0.5563,2.9354,5.5173,5.1341,5.1341
Estonia,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,0.1203,0.1614,0.2189,0.049,0.0469,0.106,0.1108,0.5849,0.2899,0.3021,0.3021
Estonia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,0.7239,0.9713,8.0932,0.2949,0.2827,0.6385,0.6671,3.5203,5.8072,5.4362,5.4362
Finland,Fertilizers Manufacturing,Emissions (CO2),kt,662.9003,677.3397,708.1039,704.9816,753.1142,795.9191,812.9934,826.3915,900.7624,933.7398,933.7398
Finland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,662.9003,677.3397,708.1039,704.9816,753.1142,795.9191,812.9934,826.3915,900.7624,933.7398,933.7398
France,Fertilizers Manufacturing,Emissions (N2O),kt,0.3627,0.4028,0.3551,0.3138,0.3371,0.358,0.3673,0.3749,0.4102,0.4267,0.4267
France,Fertilizers Manufacturing,Emissions (CO2),kt,996.8025,999.1185,1021.761,1095.5976,1164.9106,1225.7972,1247.0851,1262.933,1371.8387,1417.4846,1417.4846
France,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,96.1168,106.7412,94.111,83.1647,89.3193,94.8578,97.3273,99.3395,108.6919,113.0683,113.0683
France,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1092.9193,1105.8597,1115.872,1178.7623,1254.2299,1320.655,1344.4125,1362.2725,1480.5305,1530.553,1530.553
Georgia,Fertilizers Manufacturing,Emissions (N2O),kt,2.0464,2.081,2.1662,2.1481,2.2865,2.4084,2.4525,2.4857,2.7023,2.7943,2.7943
Georgia,Fertilizers Manufacturing,Emissions (CO2),kt,324.6854,330.3061,343.9332,341.1703,363.2464,382.7117,389.811,395.1919,429.7033,444.4197,444.4197
Georgia,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,542.2859,551.4732,574.034,569.2491,605.9135,638.217,649.8998,658.7237,716.1,740.481,740.481
Georgia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,866.9713,881.7794,917.9672,910.4194,969.1599,1020.9286,1039.7108,1053.9156,1145.8032,1184.9008,1184.9008
Germany,Fertilizers Manufacturing,Emissions (CO2),kt,1334.8605,1296.7958,1292.0908,1228.7453,1307.1704,1410.0152,1567.8155,1519.0025,1614.8507,1463.5593,1463.5593
Germany,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1334.8605,1296.7958,1292.0908,1228.7453,1307.1704,1410.0152,1567.8155,1519.0025,1614.8507,1463.5593,1463.5593
Greece,Fertilizers Manufacturing,Emissions (N2O),kt,0.0248,0.0241,0.0273,0.0614,0.028,0.056,0.0278,0.0289,0.0295,0.0359,0.0359
Greece,Fertilizers Manufacturing,Emissions (CO2),kt,182.8877,218.4824,286.2185,336.2277,355.1066,408.1829,229.2945,265.0728,325.8481,345.0297,345.0297
Greece,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,6.5731,6.3857,7.2348,16.2623,7.4115,14.8474,7.3622,7.6696,7.8273,9.5037,9.5037
