Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Australia and New Zealand,Nutrient potash K2O (total),Import Quantity,t,488006.7,127154.77,325293.08,305634.29,279910.11,295552.23,403440.71,388393.53,357366.59,433616.3,430347.83,505320.31,477511.8,588125.81,352703.58
Australia and New Zealand,Nutrient potash K2O (total),Export Quantity,t,1250.22,9823.22,1187.72,1132.89,1085.27,799.97,2164.41,1817.68,2118.38,2100.73,1691.94,1773.78,846.29,795.78,1889.78
Melanesia,Nutrient potash K2O (total),Production,t,670206.8252341135,373711.8152246256,648885.7005657238,689646.7558139535,641344.0805427631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melanesia,Nutrient potash K2O (total),Import Quantity,t,6448.85,13771.41,14947.15,14917.79,17241.61,15066.82,16843.45,11438.98,13351.34,10301.67,12231.24,10825.63,8779.92,10905.75,15998.75
Melanesia,Nutrient potash K2O (total),Export Quantity,t,0.0,0.1,9.67,0.79,0.02,0.49,1.51,2.64,1.9,0.5,2.94,0.64,0.01,0.0,1.51
Micronesia,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Micronesia,Nutrient potash K2O (total),Import Quantity,t,1.85,14.24,0.59,0.59,0.61,54.08,4.32,19.61,8.73,7.31,1.57,1.94,116.41,3.4,0.59
Micronesia,Nutrient potash K2O (total),Export Quantity,t,7.5,7.5,7.5,7.5,7.5,7.5,7.5,6.25,5.0,3.75,2.5,5.0,0.0,0.0,0.0
Polynesia,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polynesia,Nutrient potash K2O (total),Import Quantity,t,321.54,308.22,334.34,330.96,242.97,231.06,204.35,292.72,188.83,264.24,201.43,376.02,360.15,283.39,273.89
Polynesia,Nutrient potash K2O (total),Export Quantity,t,0.0,9.55,19.1,28.65,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European Union (27),Nutrient potash K2O (total),Production,t,3287758.0,2481353.0,3240954.0,3563652.0,3753669.0,4007681.0,4078058.0,4189847.75,3897446.9,3972828.12,3668036.12,3438635.14,3461881.86,3599067.88,3336395.81
European Union (27),Nutrient potash K2O (total),Import Quantity,t,5874858.79,1684612.76,4150792.61,4516270.74,4203612.23,4604310.59,4847891.05,4639979.55,4346675.99,4973241.68,4627820.05,4456364.42,4731367.19,4796407.77,3339202.47
European Union (27),Nutrient potash K2O (total),Export Quantity,t,4686609.19,2494797.04,3729679.45,3990361.8,4082303.25,4383369.63,4400345.38,4376024.13,3239539.02,4413946.11,3919393.06,3776179.62,3881376.94,4264495.12,3659812.46
Least Developed Countries,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Least Developed Countries,Nutrient potash K2O (total),Import Quantity,t,475196.56,246680.06,359544.4,545541.19,672012.52,439736.73,542958.04,698985.38,821010.75,1194603.63,828406.85,892604.47,825105.05,513805.35,800404.0
Least Developed Countries,Nutrient potash K2O (total),Export Quantity,t,29765.33,17109.42,13152.63,53275.53,68397.62,98813.91,177465.34,364345.62,287804.32,334509.21,398271.59,396223.32,398925.42,501623.38,724588.91
Land Locked Developing Countries,Nutrient potash K2O (total),Production,t,0.0,0.0,747.0,108742.0,125517.0,85903.0,98862.0,145861.26,139500.0,169621.0,204170.0,241316.49,243551.54,256252.0,308810.29
Land Locked Developing Countries,Nutrient potash K2O (total),Import Quantity,t,305924.79,191873.76,233023.57,282592.88,262521.92,307676.71,358384.09,345096.05,406077.92,446982.43,481536.41,453839.44,525785.37,501674.93,386890.22
Land Locked Developing Countries,Nutrient potash K2O (total),Export Quantity,t,6554.43,8549.25,11162.44,86157.61,113951.97,144081.66,180511.15,424430.28,336737.76,444860.22,512326.56,468353.37,525733.88,695971.05,958352.68
Small Island Developing States,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small Island Developing States,Nutrient potash K2O (total),Import Quantity,t,132497.79,74451.03,125840.87,100548.41,191730.57,109456.48,145785.93,97938.62,100899.87,98237.77,126845.87,89064.4,58987.91,43117.9,49334.45
Small Island Developing States,Nutrient potash K2O (total),Export Quantity,t,36800.12,28748.67,46150.61,27683.66,21562.0,16477.25,19572.85,14387.23,12844.41,10909.44,13531.38,12104.73,10565.23,8285.59,8781.12
Low Income Food Deficit Countries,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,108000.0,125300.0,84610.0,96569.0,143383.26,138045.0,168000.0,182413.0,199109.0,210000.0,197443.0,241127.0
Low Income Food Deficit Countries,Nutrient potash K2O (total),Import Quantity,t,215962.44,151662.03,188832.11,194296.9,277653.68,239814.87,239174.14,280184.45,292927.5,375979.66,366135.89,363912.35,401124.83,343084.14,353766.26
Low Income Food Deficit Countries,Nutrient potash K2O (total),Export Quantity,t,33789.37,21831.96,21050.18,94679.34,101955.78,112665.58,68674.63,105760.13,90326.46,160803.79,176948.05,113947.24,151862.27,208168.99,204825.19
Net Food Importing Developing Countries,Nutrient potash K2O (total),Production,t,1230000.0,700450.0,1230150.0,1421800.0,1156500.0,1140056.0,1423736.0,1496287.0,1261583.16,1448471.44,1554071.44,1582705.0,1617036.0,1619340.0,1617525.0
Net Food Importing Developing Countries,Nutrient potash K2O (total),Import Quantity,t,1101150.69,585360.46,868309.26,1120428.53,1196246.63,1011674.57,1246014.32,1436987.85,1495436.84,2128828.05,1804952.75,1756507.38,1708810.99,1373437.96,1428383.41
Net Food Importing Developing Countries,Nutrient potash K2O (total),Export Quantity,t,1034883.17,585992.88,909702.49,1052940.56,930257.77,1027981.6,1346328.63,1459072.72,1337208.47,1840782.14,1813962.49,1889571.24,2007459.6,2197912.47,2188828.02
