Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Croatia,Nutrient phosphate P2O5 (total),Export Quantity,t,28601.86,19372.61,38666.65,59566.78,47992.81,36849.7,25151.07,50947.99,31346.86,12818.2,36707.52,18747.25,15311.39,13939.57,7237.79
Cuba,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,Nutrient phosphate P2O5 (total),Import Quantity,t,28059.5,5680.49,24496.16,20856.96,28516.77,27500.87,20168.86,24196.46,18938.66,14616.35,8491.09,143.65,5217.59,661.98,606.91
Cuba,Nutrient phosphate P2O5 (total),Export Quantity,t,4.64,0.0,53.92,0.0,0.0,0.0,0.0,5.08,2.54,0.0,0.0,0.0,0.0,4.88,4.41
Cyprus,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,Nutrient phosphate P2O5 (total),Import Quantity,t,2059.63,4859.01,4715.66,2653.44,4915.98,4460.49,3948.01,4858.33,5383.03,4976.82,5154.36,5115.79,4992.94,4144.11,3379.5
Cyprus,Nutrient phosphate P2O5 (total),Export Quantity,t,3.75,11.7,9.84,5.92,1.77,5.4,2.96,0.0,5.16,3.79,0.9,0.35,7.5,0.0,0.0
Czechia,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Nutrient phosphate P2O5 (total),Import Quantity,t,53242.63,19330.75,34141.87,42672.85,46573.75,47977.96,50723.51,54567.24,52692.61,60018.87,55675.51,62719.83,54925.53,42006.15,42429.37
Czechia,Nutrient phosphate P2O5 (total),Export Quantity,t,3685.8,2272.54,2673.24,2065.97,2101.05,1051.29,1556.87,1933.86,1094.93,2251.32,2397.02,1304.45,2751.5,3888.23,2489.02
Democratic People's Republic of Korea,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic People's Republic of Korea,Nutrient phosphate P2O5 (total),Import Quantity,t,29.76,102.99,118.78,181.68,231.85,2885.85,2639.27,1661.31,4578.26,7611.3,3623.84,11884.38,1656.44,11926.89,2.3
Democratic People's Republic of Korea,Nutrient phosphate P2O5 (total),Export Quantity,t,1100.0,15.15,0.0,0.0,0.0,0.0,0.0,60.84,0.0,0.2,0.0,10.06,30.75,0.57,0.0
Democratic Republic of the Congo,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,Nutrient phosphate P2O5 (total),Import Quantity,t,1001.2,615.53,640.17,885.81,1260.58,1142.32,1772.95,1954.27,2983.18,2031.86,1749.44,1537.69,1869.44,3358.19,3203.86
Democratic Republic of the Congo,Nutrient phosphate P2O5 (total),Export Quantity,t,22.56,42.12,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,Nutrient phosphate P2O5 (total),Import Quantity,t,54919.94,23434.41,34493.43,46563.03,52180.01,57584.91,61189.53,67204.6,68084.74,89663.83,56641.44,50994.85,63701.93,54755.37,36605.86
Denmark,Nutrient phosphate P2O5 (total),Export Quantity,t,6120.0,5405.06,5444.99,3264.69,9089.77,15774.39,15933.7,16968.1,20043.95,17449.02,16626.32,17233.4,21560.93,12780.04,2517.11
Djibouti,Nutrient phosphate P2O5 (total),Import Quantity,t,52798.78,11790.46,101.79,9969.95,84141.08,156.19,27005.84,8959.26,54969.3,20674.24,66904.59,147700.4,171066.88,172911.84,166755.74
Djibouti,Nutrient phosphate P2O5 (total),Export Quantity,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585112.0469018406,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,Nutrient phosphate P2O5 (total),Import Quantity,t,10.42,442.83,301.79,347.63,182.04,221.7,179.34,321.66,254.45,170.96,172.13,550.25,191.46,263.18,106.95
Dominica,Nutrient phosphate P2O5 (total),Export Quantity,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,Nutrient phosphate P2O5 (total),Import Quantity,t,24373.89,30739.49,51179.35,37149.82,24877.93,23996.02,35546.28,27552.09,27211.75,24804.69,25335.44,20211.04,23268.31,20791.29,12874.4
Dominican Republic,Nutrient phosphate P2O5 (total),Export Quantity,t,13777.51,11305.86,17345.92,8374.49,10317.63,10561.32,10591.31,7335.12,7712.47,3445.02,3289.89,3183.31,3156.51,3294.37,2118.97
Ecuador,Nutrient phosphate P2O5 (total),Production,t,451776.9243770492,437242.16859477124,543257.9171288743,573903.4248780487,552980.0077294686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,Nutrient phosphate P2O5 (total),Import Quantity,t,27415.83,32231.03,38636.05,34350.24,33534.46,39428.57,52594.7,46548.01,40800.7,54297.31,56565.57,54680.13,51449.15,67733.72,36263.81
Ecuador,Nutrient phosphate P2O5 (total),Export Quantity,t,81.77,157.76,183.45,362.93,117.14,62.49,93.49,58.92,93.4,152.37,113.5,141.46,172.43,291.08,711.15
Egypt,Nutrient phosphate P2O5 (total),Production,t,297500.0,243400.0,379580.0,410200.0,517410.0,424850.0,589830.0,402956.78,296200.0,408400.0,409100.0,429800.0,290000.0,290000.0,290000.0
Egypt,Nutrient phosphate P2O5 (total),Import Quantity,t,2029.96,5492.86,2761.53,1759.32,5252.47,4188.54,5301.18,7848.56,8104.83,15221.67,10501.11,14916.26,23160.31,24091.24,24739.3
Egypt,Nutrient phosphate P2O5 (total),Export Quantity,t,66874.88,40439.55,97203.93,109713.52,82880.79,226629.14,177376.93,63507.97,76371.21,153367.68,195311.14,20565.39,87023.54,182133.68,215146.29
El Salvador,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Salvador,Nutrient phosphate P2O5 (total),Import Quantity,t,11248.54,15972.2,16014.84,23256.55,20505.26,18257.09,15815.65,20327.52,12818.81,17358.47,18003.24,15313.82,18213.05,15119.12,13163.89
El Salvador,Nutrient phosphate P2O5 (total),Export Quantity,t,5520.58,1749.13,3179.53,4685.39,4536.88,4658.4,5334.93,5972.48,5771.7,6884.08,5696.21,3979.32,5556.94,7331.5,4325.3
Equatorial Guinea,Nutrient phosphate P2O5 (total),Import Quantity,t,0.8,258.53,72.33,20.18,55.72,38.38,46.86,43.76,16.37,16.06,6.78,9.5,15.95,1.22,0.0
Equatorial Guinea,Nutrient phosphate P2O5 (total),Export Quantity,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,Nutrient phosphate P2O5 (total),Production,t,451776.9243770492,437242.16859477124,543257.9171288743,573903.4248780487,552980.0077294686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
